Gene	MutSig(Q-value)	# Mut	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
SGIP1		1	1	200	0.5%	No
SECISBP2L		3	3	597	0.5%	No
APOA4		2	2	1525	0.1%	No
APOA5		3	3	1725	0.2%	No
FREY1		1	1	200	0.5%	No
TST		4	4	1525	0.3%	No
ESPL1		5	5	1525	0.3%	No
LANCL3		4	4	1525	0.3%	No
MCM5		1	1	200	0.5%	No
MCM2		2	1	200	0.5%	No
HDAC4		5	5	1725	0.3%	Yes
CEBPA		161	117	2122	5.5%	Yes
HDAC2		5	5	2122	0.2%	Yes
HDAC3		3	3	597	0.5%	No
VPS4A		1	1	200	0.5%	No
TTK		1	1	200	0.5%	No
TULP1		1	1	200	0.5%	No
TTL		1	1	200	0.5%	Yes
HDAC9		1	1	150	0.7%	No
HDAC6		2	2	1525	0.1%	No
TTN		29	26	597	4.4%	No
ABLIM1		2	2	1525	0.1%	No
HECTD1		4	4	1725	0.2%	No
ABLIM2		3	3	1725	0.2%	No
VPS50		1	1	200	0.5%	No
HECTD3		1	1	200	0.5%	No
HECTD4		1	1	200	0.5%	No
XIRP1		10	10	2122	0.5%	No
XIRP2		5	5	597	0.8%	No
BCO1		3	3	597	0.5%	No
ALOXE3		1	1	200	0.5%	No
TUB		1	1	200	0.5%	No
MTOR		5	5	1725	0.3%	Yes
ASXL1		166	159	2122	7.5%	Yes
ASXL3		10	10	2122	0.5%	No
ASXL2		7	7	2122	0.3%	Yes
VPS41		3	3	350	0.9%	No
CEBPZ		2	2	200	1.0%	No
BCOR		89	89	2272	3.9%	Yes
EVI2B		2	2	1525	0.1%	No
MTRR		2	2	1525	0.1%	No
DCAF4L1		2	2	1525	0.1%	No
AQP8		4	4	1525	0.3%	No
ZMYND8		2	2	1525	0.1%	No
AQP9		1	1	200	0.5%	No
AQP7		2	2	1525	0.1%	No
GBA1		4	4	1525	0.3%	No
AQP5		3	3	597	0.5%	No
MKI67		3	3	350	0.9%	Yes
C14ORF93		1	1	200	0.5%	No
AQP1		1	1	200	0.5%	No
RPS6KA4		2	2	1525	0.1%	Yes
NFU1		4	4	200	2.0%	No
SYNPR		2	2	1525	0.1%	No
RPS6KA6		4	4	597	0.7%	No
RPS6KA2		3	3	1525	0.2%	No
NIPAL2		1	1	200	0.5%	No
RPS6KA1		3	3	1725	0.2%	No
NIPAL3		3	2	350	0.6%	No
ARFIP2		1	1	200	0.5%	No
SLC35A5		1	1	200	0.5%	No
DYNC2H1		3	3	597	0.5%	No
CPT1A		6	6	1525	0.4%	No
IL1R1		3	3	597	0.5%	No
IFRD1		1	1	200	0.5%	No
KNL1		3	3	597	0.5%	Yes
CPT1C		2	2	1525	0.1%	No
CPT1B		4	4	1525	0.3%	No
IGKV2D-29		2	2	1525	0.1%	No
CAGE1		3	3	597	0.5%	No
OBSL1		5	5	1725	0.3%	No
CFTR		3	3	1725	0.2%	No
SLC22A3		2	2	1525	0.1%	No
SLC22A6		3	3	1725	0.2%	No
SH2D2A		2	2	1525	0.1%	No
SLC22A2		1	1	200	0.5%	No
TRANK1		8	7	1725	0.4%	No
SLC26A10P		2	2	1525	0.1%	No
CRHR1		4	4	1725	0.2%	No
CRHR2		4	4	1525	0.3%	No
STRIP1		2	2	1525	0.1%	No
CFAP251		1	1	150	0.7%	No
STRIP2		6	6	597	1.0%	No
GSE1		5	5	1675	0.3%	No
FAM43A		1	1	200	0.5%	No
H4C9		2	2	1525	0.1%	Yes
IGKV2D-40		2	2	1525	0.1%	No
SLC35E1		3	3	1725	0.2%	No
SYNRG		1	1	200	0.5%	No
SH2D1A		1	1	200	0.5%	Yes
TYR		2	2	1525	0.1%	No
OCEL1		2	2	1525	0.1%	No
ZZZ3		2	2	200	1.0%	No
SLC22A8		3	3	1725	0.2%	No
RBAK		1	1	200	0.5%	No
SLC22A7		1	1	200	0.5%	No
TECPR1		2	2	1525	0.1%	No
SLC35F6		2	2	1525	0.1%	No
TENM2		17	17	2122	0.8%	No
TENM3		6	6	2122	0.3%	No
TENM4		5	5	1525	0.3%	No
SLC35F3		2	2	200	1.0%	No
MCUB		2	2	1525	0.1%	No
SLC35F1		3	3	1725	0.2%	No
RSF1		1	1	200	0.5%	No
SIPA1L2		4	4	1725	0.2%	No
SIPA1L3		4	4	1725	0.2%	No
SIPA1L1		1	1	150	0.7%	No
TMED3		2	2	1525	0.1%	No
ERMAP		5	5	1725	0.3%	No
TMED5		2	2	1525	0.1%	No
ZYG11B		3	3	200	1.5%	No
ZYG11A		3	3	597	0.5%	No
SLC35G3		4	4	1525	0.3%	No
HEG1		4	4	1525	0.3%	No
TYK2		1	1	150	0.7%	Yes
CFAP299		2	2	1525	0.1%	No
MTSS1		10	10	1525	0.7%	No
MTSS2		4	4	1525	0.3%	No
SCNM1		4	4	1525	0.3%	No
NFX1		3	3	1725	0.2%	No
AMER1		3	3	1725	0.2%	Yes
AMER2		5	5	2122	0.2%	No
MEGF6		2	2	1525	0.1%	No
AMER3		4	4	1525	0.3%	No
FAM47C		2	2	1525	0.1%	No
FAM47A		5	5	2122	0.2%	No
RBFA		1	1	200	0.5%	No
RGPD4		1	1	200	0.5%	No
C17ORF50		2	2	1525	0.1%	No
TCEAL6		6	6	597	1.0%	No
TCEAL4		1	1	200	0.5%	No
TCEAL2		2	2	1525	0.1%	No
SUSD4		3	3	1525	0.2%	No
TM4SF20		1	1	200	0.5%	No
SUSD5		6	6	1525	0.4%	No
SVIL		1	1	200	0.5%	No
MTX2		1	1	200	0.5%	No
GBF1		2	2	350	0.6%	No
SPCS2		2	2	1525	0.1%	No
NR6A1		2	2	200	1.0%	No
MEGF8		2	2	1525	0.1%	No
FRA10AC1		1	1	200	0.5%	No
SPPL2C		1	1	200	0.5%	No
OR5H15		1	1	200	0.5%	No
BMPER		8	8	2122	0.4%	No
SVEP1		4	3	1725	0.2%	No
POSTN		7	7	2122	0.3%	No
TRPC4AP		3	3	597	0.5%	No
CLEC19A		2	2	1525	0.1%	No
MYADM		1	1	200	0.5%	No
PMEL		1	1	200	0.5%	No
ZCCHC7		1	1	200	0.5%	No
GSTCD		2	2	200	1.0%	No
ZCCHC9		1	1	200	0.5%	No
RSKR		1	1	200	0.5%	No
CAMSAP1		2	2	350	0.6%	No
CAMSAP2		1	1	200	0.5%	No
ZMAT1		2	2	397	0.5%	No
NPC1L1		2	2	200	1.0%	No
LONRF3		1	1	200	0.5%	No
AMELX		1	1	200	0.5%	No
CPSF4		2	2	200	1.0%	No
HELZ		4	4	597	0.7%	No
DIAPH1		4	4	1525	0.3%	No
DIAPH2		9	9	2122	0.4%	No
DAO		1	1	200	0.5%	No
SELL		2	2	1525	0.1%	No
FGFR4		2	2	1525	0.1%	Yes
FGFR3		2	2	1525	0.1%	Yes
FGFR2		1	1	200	0.5%	Yes
GLP1R		4	4	1525	0.3%	No
THRB		3	3	597	0.5%	No
THRA		1	1	200	0.5%	No
CGB2		2	2	1525	0.1%	No
OPLAH		2	2	1525	0.1%	No
RBM3		2	2	200	1.0%	No
HEPH		4	4	1525	0.3%	No
COLGALT1		2	2	350	0.6%	No
RBM5		2	2	1525	0.1%	No
RBM6		2	2	1525	0.1%	No
GLP2R		4	4	1525	0.3%	No
OXSR1		2	2	1525	0.1%	No
MYRIP		4	4	1725	0.2%	No
C1QTNF9B		2	2	1525	0.1%	No
ZAP70		1	1	200	0.5%	No
CFAP221		2	2	200	1.0%	No
RBL1		2	2	1525	0.1%	No
DCT		3	3	597	0.5%	No
C14ORF39		3	3	1725	0.2%	No
RBKS		3	3	597	0.5%	No
NRXN1		4	4	597	0.7%	No
NRXN3		11	11	2122	0.5%	No
NRXN2		3	3	200	1.5%	No
CFAP206		2	2	1525	0.1%	No
DDO		1	1	200	0.5%	No
DDN		3	3	1725	0.2%	No
PDE11A		1	1	200	0.5%	No
NXF3		5	5	2122	0.2%	No
RPS6KC1		4	4	1525	0.3%	No
POC1A		3	3	597	0.5%	No
MUC7		1	1	200	0.5%	No
PDSS2		3	3	1725	0.2%	No
PDSS1		1	1	200	0.5%	No
BUB3		3	3	597	0.5%	No
BUB1		3	3	597	0.5%	No
GBP1		3	3	597	0.5%	No
MUC4		2	2	200	1.0%	No
GBP4		9	9	597	1.5%	No
MUC6		3	3	597	0.5%	No
GBP3		2	2	1525	0.1%	No
ATP13A1		2	2	1525	0.1%	No
DEK		5	5	1525	0.3%	Yes
CAPN13		7	7	1725	0.4%	No
CAPN11		2	2	1525	0.1%	No
PDE10A		3	3	1725	0.2%	No
RPS6KB2		1	1	200	0.5%	Yes
ATP13A5		3	3	597	0.5%	No
ATP13A2		2	2	1525	0.1%	No
ATP13A3		1	1	200	0.5%	No
FSIP1		1	1	200	0.5%	No
RBMX		4	4	597	0.7%	No
FSIP2		2	2	200	1.0%	No
MDC1		2	2	200	1.0%	Yes
ADAMDEC1		5	4	1725	0.2%	No
MT-ND5		5	4	197	2.0%	No
ZFYVE9		1	1	200	0.5%	No
NEXMIF		1	1	150	0.7%	No
OR2M3		3	3	597	0.5%	No
C4BPB		3	3	597	0.5%	No
OR2M2		3	3	597	0.5%	No
RBPJ		1	1	200	0.5%	No
MT-ND1		1	1	197	0.5%	No
ZFYVE28		2	2	1525	0.1%	No
SCAMP5		1	1	200	0.5%	No
LACTB		1	1	200	0.5%	No
ZFYVE26		2	1	200	0.5%	No
ZFYVE27		1	1	150	0.7%	No
UBASH3B		1	1	200	0.5%	No
UBASH3A		2	2	1525	0.1%	No
GBP5		2	2	1525	0.1%	No
RNASE4		1	1	200	0.5%	No
HSPG2		5	5	597	0.8%	No
EML1		2	2	1525	0.1%	No
SCAMP2		1	1	200	0.5%	No
EML3		2	2	200	1.0%	No
EML5		8	8	1525	0.5%	No
AR		1	1	200	0.5%	Yes
EML6		2	2	1525	0.1%	No
ZFYVE16		1	1	200	0.5%	No
RBP3		3	3	1725	0.2%	No
NGEF		2	2	1525	0.1%	No
ACTL7A		3	3	597	0.5%	No
SLCO5A1		3	3	597	0.5%	No
C2		1	1	197	0.5%	No
C3		4	4	597	0.7%	No
C5		6	6	2122	0.3%	No
GRIN2A		3	3	1525	0.2%	Yes
C6		7	7	1725	0.4%	No
CYP2B6		1	1	200	0.5%	No
HSPH1		1	1	200	0.5%	No
C7		3	3	597	0.5%	No
PRKAR2B		7	7	1725	0.4%	No
C9		2	2	200	1.0%	No
RSU1		2	2	200	1.0%	No
EXPH5		1	1	200	0.5%	No
EDEM3		2	2	1525	0.1%	No
GLYATL1		2	2	1525	0.1%	No
LRBA		7	7	2122	0.3%	No
EDEM2		1	1	200	0.5%	No
NETO2		1	1	200	0.5%	No
GRIN2C		1	1	200	0.5%	No
GRIN2B		12	12	1725	0.7%	No
CP		1	1	200	0.5%	No
GRIN2D		1	1	200	0.5%	No
COL1A1		5	5	1725	0.3%	Yes
SETX		2	2	200	1.0%	No
GRIN3A		1	1	200	0.5%	No
DCHS2		10	10	2122	0.5%	No
C11ORF16		2	2	1525	0.1%	No
DCHS1		8	8	1725	0.5%	No
AACS		1	1	200	0.5%	No
GPRC6A		4	4	597	0.7%	No
IKBKB		2	2	200	1.0%	Yes
TUBA1B		1	1	200	0.5%	No
NIPBL		1	1	200	0.5%	No
TUBA1A		3	3	597	0.5%	No
HEY1		1	1	200	0.5%	Yes
ADGRF2P		3	3	1725	0.2%	No
C11ORF40		1	1	200	0.5%	No
ACTL6B		2	2	1525	0.1%	No
NIPA1		2	2	1525	0.1%	No
RRAS2		1	1	200	0.5%	Yes
SIRT6		1	1	200	0.5%	No
IGHV1-58		2	2	1525	0.1%	No
SIRT1		3	3	1725	0.2%	No
SIRT2		3	3	1725	0.2%	No
F5		2	2	1525	0.1%	No
ELAPOR1		2	2	1525	0.1%	No
FAHD2B		1	1	200	0.5%	No
GPRC5B		3	3	597	0.5%	No
F9		1	1	200	0.5%	No
BDH1		1	1	200	0.5%	No
CDC42EP5		2	2	1525	0.1%	No
CDC42EP1		2	2	1525	0.1%	No
DLD		4	4	597	0.7%	No
DSCAML1		2	2	200	1.0%	No
MDFI		3	3	597	0.5%	No
FH		1	1	200	0.5%	Yes
STAU2		1	1	200	0.5%	No
MIEF2		4	4	1525	0.3%	No
CCNDBP1		1	1	200	0.5%	No
UNG		2	2	1525	0.1%	No
GLRA1		3	3	597	0.5%	No
PROKR1		1	1	200	0.5%	No
TUBA3E		1	1	200	0.5%	No
TUBA3D		2	2	1525	0.1%	No
PROKR2		2	2	1525	0.1%	No
GLRA2		1	1	200	0.5%	No
TUBA3C		10	10	2122	0.5%	No
GBX1		2	2	1525	0.1%	No
STAT4		3	3	1725	0.2%	Yes
PMS2		3	3	1725	0.2%	Yes
DMD		6	6	597	1.0%	No
STAT6		1	1	200	0.5%	Yes
CSMD3		11	9	597	1.5%	No
CSMD2		19	19	1725	1.1%	No
GC		1	1	200	0.5%	No
CSMD1		12	12	597	2.0%	No
PMS1		1	1	200	0.5%	Yes
C11ORF65		3	3	1725	0.2%	No
STAT2		5	5	1725	0.3%	Yes
TTLL7		1	1	200	0.5%	No
HEYL		2	2	1525	0.1%	No
TTLL4		1	1	200	0.5%	No
AADAC		3	3	1725	0.2%	No
TTLL3		1	1	200	0.5%	No
TTLL2		4	4	597	0.7%	No
TTLL1		4	4	1525	0.3%	No
SERBP1		2	2	1525	0.1%	No
RIMBP2		1	1	200	0.5%	No
RIMBP3		6	6	1525	0.4%	No
UBAP2		1	1	200	0.5%	No
TTLL9		5	5	1725	0.3%	No
TTLL8		3	3	1725	0.2%	No
CCNT2		1	1	200	0.5%	No
CCNT1		3	3	200	1.5%	No
FAM13A		3	3	200	1.5%	No
SMCHD1		2	2	1525	0.1%	No
HEPHL1		7	7	1725	0.4%	No
PMPCB		3	3	597	0.5%	No
PITX2		1	1	200	0.5%	No
MINAR2		2	2	1525	0.1%	No
IK		2	2	1525	0.1%	No
LAG3		2	2	1525	0.1%	No
VPS33B		1	1	150	0.7%	No
EMSY		2	2	200	1.0%	Yes
RBMXL1		2	2	150	1.3%	No
NPTXR		1	1	200	0.5%	No
LILRP2		1	1	200	0.5%	No
OVCH1-AS1		4	4	1525	0.3%	No
PFKFB2		2	2	1525	0.1%	No
PFKFB1		3	3	1725	0.2%	No
PFKFB3		1	1	200	0.5%	No
ARL6		1	1	200	0.5%	No
ARL3		3	3	597	0.5%	No
DPT		1	1	200	0.5%	No
TNFRSF11A		8	7	1725	0.4%	Yes
NTPCR		2	2	1525	0.1%	No
SBNO1		7	7	1725	0.4%	No
SBNO2		4	4	1525	0.3%	No
SOCS1		4	4	1525	0.3%	Yes
IGLV2-14		1	1	200	0.5%	No
CPAMD8		6	6	1725	0.3%	No
IGLV2-18		1	1	200	0.5%	No
SOCS6		1	1	200	0.5%	No
SOCS4		2	2	1525	0.1%	No
MDN1		4	2	350	0.6%	No
SOCS5		3	3	350	0.9%	No
COL28A1		2	2	1525	0.1%	No
KL		1	1	200	0.5%	No
BRPF1		3	3	597	0.5%	No
BICRAL		6	6	597	1.0%	No
BDNF		1	1	200	0.5%	No
GFPT2		1	1	200	0.5%	No
KY		2	2	200	1.0%	No
TNFRSF10D		1	1	150	0.7%	No
ZC3HC1		4	4	597	0.7%	No
ENTREP1		2	2	1525	0.1%	No
MDM2		4	4	597	0.7%	Yes
AAK1		4	4	1525	0.3%	No
TUBGCP6		3	3	597	0.5%	No
MDM4		1	1	200	0.5%	Yes
MYD88		4	4	1725	0.2%	Yes
MDM1		5	5	1725	0.3%	No
CNTNAP3		8	8	1725	0.5%	No
CNTNAP2		1	1	200	0.5%	No
CNTNAP1		5	5	1725	0.3%	No
SH2D4B		1	1	200	0.5%	No
PIK3CB		4	4	597	0.7%	Yes
PPP1R13L		4	4	1525	0.3%	No
OR2Y1		4	4	597	0.7%	No
DGCR8		1	1	200	0.5%	No
UTY		1	1	200	0.5%	No
SPG11		10	10	2122	0.5%	No
DSP		9	9	1675	0.5%	No
PTCRA		2	2	1525	0.1%	No
PPP1R12A		6	6	1725	0.3%	No
DST		5	5	597	0.8%	No
ARNT		1	1	200	0.5%	Yes
RAD23A		1	1	200	0.5%	No
VPS37A		1	1	200	0.5%	No
CYP2A6		6	6	1525	0.4%	No
PIK3CA		2	2	1525	0.1%	Yes
IL1RAPL1		1	1	200	0.5%	No
PIK3C3		6	6	1725	0.3%	Yes
ST6GALNAC4		2	2	200	1.0%	No
PPP1R12C		1	1	200	0.5%	No
CNTNAP5		5	5	597	0.8%	No
ST6GALNAC5		2	2	1525	0.1%	No
CNTNAP4		6	6	597	1.0%	No
ST6GALNAC6		2	2	1525	0.1%	No
SLC47A2		1	1	200	0.5%	No
SLC47A1		4	4	1725	0.2%	No
LRP1		4	3	200	1.5%	No
LRP5		4	4	597	0.7%	Yes
LRP4		4	4	1525	0.3%	No
KATNB1		1	1	200	0.5%	No
FURIN		1	1	200	0.5%	Yes
LRP2		5	5	200	2.5%	No
LRP8		5	5	1725	0.3%	No
LRP6		3	3	1725	0.2%	Yes
PRIMPOL		2	2	1525	0.1%	No
CECR2		6	6	597	1.0%	No
CNNM1		1	1	200	0.5%	No
PTPRZ1		4	4	1725	0.2%	No
SLITRK2		1	1	200	0.5%	No
SLITRK1		3	3	597	0.5%	No
KATNA1		3	3	200	1.5%	No
SLITRK3		2	2	200	1.0%	No
SLITRK6		5	5	1725	0.3%	No
SLITRK5		4	4	1525	0.3%	No
CNNM2		4	4	1525	0.3%	No
LINGO2		3	3	1725	0.2%	No
LINGO1		1	1	200	0.5%	No
PPP1R14B		1	1	150	0.7%	No
TIE1		4	4	1525	0.3%	No
BAIAP2		2	2	350	0.6%	No
BAIAP3		4	4	1525	0.3%	No
PC		5	5	1525	0.3%	Yes
MDGA2		3	3	1725	0.2%	No
MDGA1		1	1	200	0.5%	No
VPS35L		4	4	1725	0.2%	No
EIF4A2		1	1	200	0.5%	Yes
RETREG3		1	1	200	0.5%	No
RGSL1		3	3	1725	0.2%	No
ULK4		2	2	1525	0.1%	No
TONSL		3	3	597	0.5%	Yes
DNHD1		7	7	1725	0.4%	No
UBE2L6		1	1	200	0.5%	No
GCC1		1	1	200	0.5%	No
TXNDC15		2	2	1525	0.1%	No
NUBP1		1	1	200	0.5%	No
TXNDC17		1	1	200	0.5%	No
TCL1A		3	3	597	0.5%	Yes
BAIAP2L1		3	3	597	0.5%	No
POF1B		2	2	350	0.6%	No
DHX57		1	1	200	0.5%	No
DHX58		2	2	1525	0.1%	No
OXER1		1	1	200	0.5%	No
CCNL2		1	1	150	0.7%	No
EPHB2		1	1	200	0.5%	No
ACAD11		1	1	200	0.5%	No
EPHB1		5	5	2122	0.2%	Yes
EPHA5		4	4	1675	0.2%	Yes
EPHA4		4	4	1725	0.2%	No
ENTPD1		7	7	2122	0.3%	No
EPHA7		3	3	1725	0.2%	Yes
EPHA6		2	2	1525	0.1%	No
EPHA8		3	3	597	0.5%	No
SLC34A1		5	5	1725	0.3%	No
ENTPD5		2	2	200	1.0%	No
ENTPD6		1	1	200	0.5%	No
ENTPD7		1	1	200	0.5%	No
TIMD4		2	2	1525	0.1%	No
GCAT		4	4	1725	0.2%	No
PABIR2		1	1	200	0.5%	No
TAS2R19		1	1	150	0.7%	No
PABIR3		3	3	200	1.5%	No
DHX40		1	1	200	0.5%	No
ULK2		1	1	200	0.5%	No
ULK1		6	6	1525	0.4%	No
LAP3		1	1	200	0.5%	No
MXRA5		22	20	2122	0.9%	No
EPHA3		8	8	2122	0.4%	Yes
EPHA2		5	5	2122	0.2%	No
PAXIP1		1	1	200	0.5%	No
EPHA10		9	9	2122	0.4%	No
PIK3R4		5	5	1725	0.3%	No
PIK3R2		1	1	200	0.5%	Yes
MST1R		5	4	597	0.7%	Yes
RTF1		3	3	1725	0.2%	No
ART5		2	2	1525	0.1%	No
UBE2J2		2	2	1525	0.1%	No
ART4		2	2	1525	0.1%	No
DHX30		1	1	150	0.7%	No
DHX32		3	3	597	0.5%	No
RAB11FIP1		4	4	597	0.7%	No
ARSL		3	3	1725	0.2%	No
DHX33		3	3	1725	0.2%	No
DHX34		3	3	597	0.5%	No
MIER3		3	3	597	0.5%	No
PCBP4		1	1	200	0.5%	No
SI		13	13	2122	0.6%	No
MIER2		2	2	1525	0.1%	No
DHX35		2	2	200	1.0%	No
ARSJ		2	2	200	1.0%	No
PCBP2		2	2	1525	0.1%	No
DHX36		1	1	200	0.5%	No
ARSH		5	5	1725	0.3%	No
ARSI		2	2	1525	0.1%	No
DHX38		2	2	200	1.0%	No
ARSF		3	3	597	0.5%	No
N4BP3		2	2	1525	0.1%	No
N4BP1		3	3	597	0.5%	No
ZBED4		3	3	597	0.5%	No
RAB11FIP4		1	1	622	0.2%	No
RCC2		5	5	2122	0.2%	No
MICAL3		7	7	1725	0.4%	No
MICAL2		6	6	1500	0.4%	No
TAS2R38		2	2	1525	0.1%	No
TAS2R39		2	2	1525	0.1%	No
WAPL		3	3	597	0.5%	No
TF		1	1	200	0.5%	No
TG		3	3	200	1.5%	No
RETREG2		2	2	1525	0.1%	No
PCSK2		1	1	200	0.5%	No
SLC7A14		1	1	200	0.5%	No
SLC7A13		3	3	597	0.5%	No
AATK		3	3	1725	0.2%	No
PCSK9		2	2	1525	0.1%	No
PCSK6		3	3	1525	0.2%	No
SLC7A10		1	1	200	0.5%	No
PCSK5		3	3	1525	0.2%	No
CLYBL		2	2	1525	0.1%	No
GNGT1		2	2	1525	0.1%	No
IMMP2L		3	3	597	0.5%	No
HYAL2		1	1	200	0.5%	No
ENC1		3	3	597	0.5%	No
HYAL4		3	3	597	0.5%	No
DHX15		2	2	150	1.3%	No
DHX16		1	1	200	0.5%	No
FAM170A		3	3	1725	0.2%	No
AASS		2	2	1525	0.1%	No
NCOA2		5	5	1725	0.3%	Yes
NCOA5		1	1	200	0.5%	No
NCOA6		3	3	200	1.5%	No
NCOA3		5	5	597	0.8%	Yes
NCOA4		1	1	200	0.5%	Yes
MRPS2		1	1	200	0.5%	No
MRPS5		1	1	200	0.5%	No
ENAH		3	3	1725	0.2%	No
BANK1		1	1	200	0.5%	No
G2E3		2	2	1525	0.1%	No
NCOA7		6	6	2122	0.3%	No
SFI1		4	4	200	2.0%	No
OR3A2		3	3	597	0.5%	No
DEFB128		1	1	200	0.5%	No
IGHMBP2		7	7	2272	0.3%	No
NEDD9		2	2	1525	0.1%	No
PLEKHG4B		2	2	1525	0.1%	No
SCAND1		4	4	1525	0.3%	No
SCAND3		3	3	597	0.5%	No
GCGR		2	2	1525	0.1%	No
YIPF5		2	2	1525	0.1%	No
HUWE1		8	7	1725	0.4%	No
KLK13		2	2	1525	0.1%	No
UBE2G2		1	1	200	0.5%	No
KLK11		4	4	1525	0.3%	No
CCNG2		5	5	2122	0.2%	No
YIPF6		1	1	200	0.5%	No
TARDBP		2	2	1525	0.1%	No
SH3GL3		2	2	1525	0.1%	No
RTL1		4	4	1525	0.3%	No
KLHL36		5	5	1675	0.3%	No
KLHL38		1	1	200	0.5%	No
KLHL32		4	4	1525	0.3%	No
RTL9		1	1	200	0.5%	No
OGDHL		2	2	200	1.0%	No
CFAP300		3	3	597	0.5%	No
PHRF1		3	3	1675	0.2%	No
KLHL30		2	2	1525	0.1%	No
KLHL31		1	1	200	0.5%	No
CCND3		18	18	1525	1.2%	Yes
CCND2		6	6	1675	0.4%	Yes
PDGFRB		5	5	2122	0.2%	Yes
PDGFRA		3	3	597	0.5%	Yes
HFM1		2	2	1525	0.1%	No
CYBB		5	5	597	0.8%	No
CCNE2		4	3	200	1.5%	No
UBBP4		1	1	200	0.5%	No
UBE2V2		1	1	200	0.5%	No
PHAF1		3	3	1725	0.2%	No
GCM2		3	3	597	0.5%	No
KLHL18		5	5	597	0.8%	No
GCM1		2	2	1525	0.1%	No
VCP		1	1	200	0.5%	No
NDRG4		1	1	200	0.5%	No
KLHL15		2	2	1525	0.1%	No
CHAT		1	1	200	0.5%	No
KLHL12		4	4	597	0.7%	No
KLHL13		4	4	1725	0.2%	No
NDRG2		3	3	1725	0.2%	No
RTN4		1	1	200	0.5%	No
CCNB3		2	2	1525	0.1%	Yes
BRINP2		3	3	1525	0.2%	No
BRINP1		6	6	1525	0.4%	No
CHAD		2	2	1525	0.1%	No
CYC1		1	1	200	0.5%	No
BRINP3		24	21	2122	1.0%	No
GCN1		4	4	597	0.7%	No
KLHL29		4	4	1525	0.3%	No
KLHL26		1	1	200	0.5%	No
NFXL1		4	4	1525	0.3%	No
KLHL23		3	3	1725	0.2%	No
GULP1		2	2	1525	0.1%	No
ABHD12B		2	2	1525	0.1%	No
KLHL20		1	1	200	0.5%	No
RCL1		2	2	1525	0.1%	No
GCLC		1	1	200	0.5%	No
STT3A		8	8	1525	0.5%	No
CYCS		2	2	1525	0.1%	No
TAF4B		1	1	200	0.5%	No
STT3B		4	4	747	0.5%	No
GCLM		4	4	597	0.7%	No
MCUR1		2	2	1525	0.1%	No
YWHAB		2	2	1525	0.1%	No
CHD9		6	6	1725	0.3%	No
CHD8		4	4	1725	0.2%	No
CHD7		9	9	1525	0.6%	No
CHD6		9	8	1725	0.5%	No
CHD5		6	6	1525	0.4%	No
CHD4		14	14	2122	0.7%	Yes
CHD3		4	4	822	0.5%	No
CHD2		7	7	1875	0.4%	Yes
CHD1		2	2	1525	0.1%	No
EED		10	10	2122	0.5%	Yes
RFPL1		1	1	200	0.5%	No
TBC1D8		3	3	597	0.5%	No
TBC1D9		2	2	1525	0.1%	No
DARS1		2	2	1525	0.1%	No
GCNA		2	2	1525	0.1%	No
CCNA1		4	4	200	2.0%	No
TBC1D2		3	3	597	0.5%	No
RCN1		2	2	1525	0.1%	No
TBC1D4		3	3	597	0.5%	No
UBE2R2		3	3	597	0.5%	No
MMRN1		2	2	1525	0.1%	No
CHDH		2	2	1525	0.1%	No
MMRN2		6	6	1525	0.4%	No
RRBP1		5	5	1725	0.3%	No
TAF1L		5	5	1725	0.3%	No
ACVR1B		1	1	200	0.5%	Yes
TAF1D		1	1	200	0.5%	No
EFS		2	2	200	1.0%	No
TNKS2		1	1	200	0.5%	No
TAF1C		2	2	1525	0.1%	No
MDH1B		3	3	597	0.5%	No
LRWD1		3	3	597	0.5%	No
ABHD16B		2	2	1525	0.1%	No
ACVR2B		5	5	2122	0.2%	No
ASB9		3	3	1725	0.2%	No
ASB4		3	3	597	0.5%	No
QRICH1		1	1	200	0.5%	No
QRICH2		5	4	597	0.7%	No
VIM		1	1	150	0.7%	No
VIP		2	2	1525	0.1%	No
RPL26L1		2	2	1525	0.1%	No
ASB1		2	2	1525	0.1%	No
RPL32		3	3	597	0.5%	No
TMEM200A		3	3	597	0.5%	No
OR1K1		1	1	200	0.5%	No
ABCA12		3	3	1725	0.2%	No
ENO2		1	1	200	0.5%	No
ENO3		1	1	200	0.5%	No
ABCA13		1	1	200	0.5%	No
GCSH		2	2	1525	0.1%	No
GPR174		3	3	1725	0.2%	No
ZNG1F		2	2	1525	0.1%	No
RNF112		2	2	1525	0.1%	No
GPR176		1	1	200	0.5%	No
RNF114		2	2	1525	0.1%	No
CYP1B1		2	2	1525	0.1%	No
ADNP2		4	4	1525	0.3%	No
RTTN		2	2	200	1.0%	No
ANKS1A		3	3	200	1.5%	No
RNF111		6	6	2122	0.3%	No
ANKS1B		4	4	1725	0.2%	No
GPR179		7	6	1725	0.3%	No
MED1		1	1	200	0.5%	No
CHIA		5	5	1525	0.3%	No
MECR		3	3	597	0.5%	No
OR1J2		4	4	597	0.7%	No
IFT80		1	1	200	0.5%	No
MED6		1	1	200	0.5%	No
GPR162		2	2	1525	0.1%	No
RNF123		1	1	200	0.5%	No
ABCA10		5	5	597	0.8%	No
RNF126		4	4	1525	0.3%	No
IFT81		1	1	200	0.5%	No
RPL27		1	1	200	0.5%	No
RPL26		1	1	903	0.1%	No
